city_name,city_uri,city_geo,city_mean,shipping_distance,shipping_cost
houston,houston.craigslist.org/search/rva?query=rv,"29.7805,-95.3863",34220.54,1546,1057.7
madison,madison.craigslist.org/search/rva?query=rv,"43.0878,-89.4301",24492.76,1975,1351.2
knoxville,knoxville.craigslist.org/search/rva?query=rv,"35.9709,-83.9465",39814.39,2182,1492.82
cincinnati,cincinnati.craigslist.org/search/rva?query=rv,"39.1399,-84.5064",41047.89,2172,1485.98
fresno,fresno.craigslist.org/search/rva?query=rv,"36.7827,-119.7945",26376.35,222,151.88
winstonsalem,winstonsalem.craigslist.org/search/rva?query=rv,"36.1033,-80.2606",28076.6,2438,1667.96
milwaukee,milwaukee.craigslist.org/search/rva?query=rv,"43.0633,-87.9667",23642.95,2055,1405.93
siouxfalls,siouxfalls.craigslist.org/search/rva?query=rv,"43.5383,-96.7320",24340.4,1638,1120.64
fortwayne,fortwayne.craigslist.org/search/rva?query=rv,"41.0882,-85.1439",15397.06,2159,1477.09
clarksville,clarksville.craigslist.org/search/rva?query=rv,"36.5664,-87.3452",29792.15,2003,1370.36
denver,denver.craigslist.org/search/rva?query=rv,"39.7618,-104.8806",36078.98,1025,701.26
sanantonio,sanantonio.craigslist.org/search/rva?query=rv,"29.4724,-98.5251",40034.0,1348,922.24
tulsa,tulsa.craigslist.org/search/rva?query=rv,"36.1279,-95.9023",34373.85,1437,983.13
amarillo,amarillo.craigslist.org/search/rva?query=rv,"35.1978,-101.8287",26857.48,1072,733.41
greensboro,greensboro.craigslist.org/search/rva?query=rv,"36.0965,-79.8271",28407.28,2467,1687.8
jacksonville,jacksonville.craigslist.org/search/rva?query=rv,"30.3370,-81.6613",27840.93,2416,1652.91
lincoln,lincoln.craigslist.org/search/rva?query=rv,"40.8090,-96.6804",34654.23,1498,1024.86
norfolk,norfolk.craigslist.org/search/rva?query=rv,"36.9230,-76.2446",169041.99,2703,1849.26
miami,miami.craigslist.org/search/rva?query=rv,"25.7752,-80.2086",25500.49,2732,1869.1
orlando,orlando.craigslist.org/search/rva?query=rv,"28.4159,-81.2988",43569.85,2520,1724.06
lexington,lexington.craigslist.org/search/rva?query=rv,"38.0402,-84.4584",42723.11,2167,1482.56
detroit,detroit.craigslist.org/search/rva?query=rv,"42.3830,-83.1022",28026.2,2283,1561.92
springfield,springfield.craigslist.org/search/rva?query=rv,"42.1155,-72.5400",34497.66,2500,2750
phoenix,phoenix.craigslist.org/search/rva?query=rv,"33.5722,-112.0880",33860.42,378,258.61
modesto,modesto.craigslist.org/search/rva?query=rv,"37.6609,-120.9891",29834.08,314,214.82
cleveland,cleveland.craigslist.org/search/rva?query=rv,"41.4781,-81.6795",16753.91,2343,1602.97
portland,portland.craigslist.org/search/rva?query=rv,"45.5370,-122.6500",45205.82,964,659.52
batonrouge,batonrouge.craigslist.org/search/rva?query=rv,"30.4485,-91.1259",20220.56,1818,1243.79
jackson,jackson.craigslist.org/search/rva?query=rv,"32.3158,-90.2128",26286.8,1839,1258.16
chicago,chicago.craigslist.org/search/rva?query=rv,"41.8376,-87.6818",25384.46,2024,1384.72
tucson,tucson.craigslist.org/search/rva?query=rv,"32.1543,-110.8711",38558.24,495,338.66
richmond,richmond.craigslist.org/search/rva?query=rv,"37.5314,-77.4760",34108.8,2617,1790.43
stlouis,stlouis.craigslist.org/search/rva?query=rv,"38.6357,-90.2446",31285.85,1822,1246.53
toledo,toledo.craigslist.org/search/rva?query=rv,"41.6641,-83.5819",17964.59,2246,1536.61
columbus,columbus.craigslist.org/search/rva?query=rv,"32.5102,-84.8749",28729.87,1700,1999
newyork,newyork.craigslist.org/search/rva?query=rv,"40.6643,-73.9385",11503.19,2798,1914.26
nashville,nashville.craigslist.org/search/rva?query=rv,"36.1718,-86.7850",11649.5,2004,1371.04
albuquerque,albuquerque.craigslist.org/search/rva?query=rv,"35.1056,-106.6474",41171.7,786,537.74
shreveport,shreveport.craigslist.org/search/rva?query=rv,"32.4670,-93.7927",7430.0,1619,1107.64
grandrapids,grandrapids.craigslist.org/search/rva?query=rv,"42.9612,-85.6556",48478.48,2177,1489.4
boise,boise.craigslist.org/search/rva?query=rv,"43.5985,-116.2311",25275.21,839,574.0
bakersfield,bakersfield.craigslist.org/search/rva?query=rv,"35.3212,-119.0183",52514.21,108,73.89
spokane,spokane.craigslist.org/search/rva?query=rv,"47.6736,-117.4166",41938.75,1199,820.3
anchorage,anchorage.craigslist.org/search/rva?query=rv,"61.2176,-149.8953",31813.61,3398,2324.75
elpaso,elpaso.craigslist.org/search/rva?query=rv,"31.8484,-106.4270",32464.57,804,550.06
raleigh,raleigh.craigslist.org/search/rva?query=rv,"35.8302,-78.6414",25153.29,2543,1739.8
austin,austin.craigslist.org/search/rva?query=rv,"30.3072,-97.7560",21344.67,1378,942.76
baltimore,baltimore.craigslist.org/search/rva?query=rv,"39.3002,-76.6105",25931.84,2646,1810.27
macon,macon.craigslist.org/search/rva?query=rv,"32.505,-83.396",42255.85,2287,1564.66
fortcollins,fortcollins.craigslist.org/search/rva?query=rv,"40.5482,-105.0648",21776.37,1073,734.1
stockton,stockton.craigslist.org/search/rva?query=rv,"37.9763,-121.3133",21553.95,339,231.93
neworleans,neworleans.craigslist.org/search/rva?query=rv,"30.0686,-89.9390",38163.02,1903,1301.94
kansascity,kansascity.craigslist.org/search/rva?query=rv,"39.1225,-94.7418",28364.54,2000,2000
providence,providence.craigslist.org/search/rva?query=rv,"41.8231,-71.4188",22692.28,2968,2030.56
philadelphia,philadelphia.craigslist.org/search/rva?query=rv,"40.0094,-75.1333",30033.65,2709,1853.37
stpetersburg,stpetersburg.craigslist.org/search/rva?query=rv,"27.7620,-82.6441",None,2549,1743.9
lasvegas,lasvegas.craigslist.org/search/rva?query=rv,"36.2277,-115.2640",31593.95,279,190.88
laredo,laredo.craigslist.org/search/rva?query=rv,"27.5477,-99.4869",17450.32,1405,961.23
pittsburgh,pittsburgh.craigslist.org/search/rva?query=rv,"40.4398,-79.9766",20126.54,2429,1661.81
minneapolis,minneapolis.craigslist.org/search/rva?query=rv,"44.9633,-93.2683",26461.85,1925,1316.99
saltlakecity,saltlakecity.craigslist.org/search/rva?query=rv,"40.7785,-111.9314",41982.53,690,472.07
desmoines,desmoines.craigslist.org/search/rva?query=rv,"41.5739,-93.6167",28997.66,1683,1151.43
atlanta,atlanta.craigslist.org/search/rva?query=rv,"33.7629,-84.4227",50950.0,2172,1485.98
memphis,memphis.craigslist.org/search/rva?query=rv,"35.1035,-89.9785",32315.54,1798,1230.11
tampa,tampa.craigslist.org/search/rva?query=rv,"27.9701,-82.4797",33147.12,2527,1728.85
rockford,rockford.craigslist.org/search/rva?query=rv,"42.2634,-89.0628",29764.66,1967,1345.73
sandiego,sandiego.craigslist.org/search/rva?query=rv,"32.8153,-117.1350",15435.87,115,78.68
oklahomacity,oklahomacity.craigslist.org/search/rva?query=rv,"35.4671,-97.5137",27883.11,1328,908.55
augusta,augusta.craigslist.org/search/rva?query=rv,"33.3655,-82.0734",26077.46,2324,1589.97
eugene,eugene.craigslist.org/search/rva?query=rv,"44.0567,-123.1162",39636.57,860,588.37
charlotte,charlotte.craigslist.org/search/rva?query=rv,"35.2087,-80.8307",37105.1,2421,1656.33
tallahassee,tallahassee.craigslist.org/search/rva?query=rv,"30.4551,-84.2534",46555.45,2259,1545.5
boston,boston.craigslist.org/search/rva?query=rv,"42.3320,-71.0202",40181.02,2984,2041.51
worcester,worcester.craigslist.org/search/rva?query=rv,"42.2695,-71.8078",24476.16,2946,2015.51
reno,reno.craigslist.org/search/rva?query=rv,"39.4745,-119.7765",17968.26,466,318.82
salem,salem.craigslist.org/search/rva?query=rv,"44.9237,-123.0231",22025.58,917,627.37
seattle,seattle.craigslist.org/search/rva?query=rv,"47.6205,-122.3509",33625.12,1137,777.88
rochester,rochester.craigslist.org/search/rva?query=rv,"43.1699,-77.6169",None,2603,1780.85
dallas,dallas.craigslist.org/search/rva?query=rv,"32.7757,-96.7967",19177.19,1436,982.44
lubbock,lubbock.craigslist.org/search/rva?query=rv,"33.5665,-101.8867",70049.23,1106,756.67
montgomery,montgomery.craigslist.org/search/rva?query=rv,"32.3463,-86.2686",29595.15,2087,1427.83
huntsville,huntsville.craigslist.org/search/rva?query=rv,"34.7843,-86.5390",11495.83,2010,1375.15
louisville,louisville.craigslist.org/search/rva?query=rv,"38.1781,-85.6667",140169.33,2098,1435.35
indianapolis,indianapolis.craigslist.org/search/rva?query=rv,"39.7767,-86.1459",17988.04,2068,1414.83
sacramento,sacramento.craigslist.org/search/rva?query=rv,"38.5666,-121.4686",38080.56,384,262.71
littlerock,littlerock.craigslist.org/search/rva?query=rv,"34.7254,-92.3586",20782.27,1664,1138.43
chattanooga,chattanooga.craigslist.org/search/rva?query=rv,"35.0665,-85.2471",25285.73,2135,1460.67
omaha,omaha.craigslist.org/search/rva?query=rv,"41.2647,-96.0419",35394.09,1546,1057.7
mobile,mobile.craigslist.org/search/rva?query=rv,"30.6684,-88.1002",39175.17,2011,1375.83
wichita,wichita.craigslist.org/search/rva?query=rv,"37.6907,-97.3427",24141.86,1379,943.45
corpuschristi,corpuschristi.craigslist.org/search/rva?query=rv,"27.7543,-97.1734",None,1525,1043.33
brownsville,brownsville.craigslist.org/search/rva?query=rv,"26.0183,-97.4538",24020.5,1626,1112.43
fayetteville,fayetteville.craigslist.org/search/rva?query=rv,"35.0851,-78.9803",24565.91,2552,1745.96
buffalo,buffalo.craigslist.org/search/rva?query=rv,"42.8925,-78.8597",32862.53,2537,1735.7
